session_type,beta_delta_EVR,std_err,CI_lower,CI_upper,p_value,R2,partial_eta_sq,n
IM,-1.6709813622929515,1.39831828368619,-4.635283701876935,1.2933209772910321,0.24950276255114376,0.08193762050214337,,18
WMP,5.598660482949579,2.571422562966048,0.14748816518137886,11.049832800717779,0.044774705600986765,0.22856134231572411,,18
OMP,-1.0843389022011731,1.7598196818178533,-4.814989971360275,2.646312166957928,0.5464527459275025,0.023178689613342573,,18
