comparison,test,group1,group2,n1,n2,mean1,mean2,p_value,ci_lower,ci_upper,cohens_d,significant_0.05
delta_MSE: OMP vs 0,"permutation_test (n_iter=10000, alternative=greater)",OMP,0 (null),18,,0.0072283622122290715,0,0.36906309369063095,-0.03700749611512542,0.04770837385260669,0.07641280205147971,False
delta_MSE: WMP vs 0,"permutation_test (n_iter=10000, alternative=greater)",WMP,0 (null),18,,0.049070082369905385,0,0.050094990500949906,-0.0008184412145786878,0.10623090776913854,0.4064189392787415,False
