,subject_id,session_number,session_type,score,metric,n_voxels,wmp_first
69,avatarRT_sub_08,4,WMP,0.04,delta_BC,1453.0,False
70,avatarRT_sub_08,3,OMP,0.0129280950581851,delta_EVR,1453.0,False
71,avatarRT_sub_08,3,OMP,0.1600000000000001,delta_BC,1453.0,False
72,avatarRT_sub_10,2,IM,0.0223796444153932,delta_EVR,1453.0,False
73,avatarRT_sub_10,2,IM,0.6000000000000001,delta_BC,1453.0,False
74,avatarRT_sub_10,4,WMP,-4.955763799471824e-05,delta_EVR,1453.0,False
75,avatarRT_sub_10,4,WMP,-0.1599999999999999,delta_BC,1453.0,False
76,avatarRT_sub_10,3,OMP,-0.0036443702183082,delta_EVR,1453.0,False
77,avatarRT_sub_10,3,OMP,-0.1199999999999998,delta_BC,1453.0,False
78,avatarRT_sub_10,2,IM,0.0223796444153932,delta_EVR,1453.0,False
79,avatarRT_sub_10,2,IM,0.6000000000000001,delta_BC,1453.0,False
80,avatarRT_sub_10,4,WMP,-4.955763799471824e-05,delta_EVR,1453.0,False
81,avatarRT_sub_10,4,WMP,-0.1599999999999999,delta_BC,1453.0,False
82,avatarRT_sub_10,3,OMP,-0.0036443702183082,delta_EVR,1453.0,False
83,avatarRT_sub_10,3,OMP,-0.1199999999999998,delta_BC,1453.0,False
84,avatarRT_sub_10,2,IM,0.0223796444153932,delta_EVR,1453.0,False
85,avatarRT_sub_10,2,IM,0.6000000000000001,delta_BC,1453.0,False
86,avatarRT_sub_10,4,WMP,-4.955763799471824e-05,delta_EVR,1453.0,False
87,avatarRT_sub_10,4,WMP,-0.1599999999999999,delta_BC,1453.0,False
88,avatarRT_sub_10,3,OMP,-0.0036443702183082,delta_EVR,1453.0,False
89,avatarRT_sub_10,3,OMP,-0.1199999999999998,delta_BC,1453.0,False
90,avatarRT_sub_11,2,IM,0.0111110631329153,delta_EVR,1453.0,True
91,avatarRT_sub_11,2,IM,0.4800000000000001,delta_BC,1453.0,True
92,avatarRT_sub_11,3,WMP,-0.0011423430549361,delta_EVR,1453.0,True
93,avatarRT_sub_11,3,WMP,0.0799999999999999,delta_BC,1453.0,True
94,avatarRT_sub_11,4,OMP,0.006640583858163,delta_EVR,1453.0,True
95,avatarRT_sub_11,4,OMP,0.1199999999999998,delta_BC,1453.0,True
96,avatarRT_sub_11,2,IM,0.0111110631329153,delta_EVR,1453.0,True
97,avatarRT_sub_11,2,IM,0.4800000000000001,delta_BC,1453.0,True
98,avatarRT_sub_11,3,WMP,-0.0011423430549361,delta_EVR,1453.0,True
99,avatarRT_sub_11,3,WMP,0.0799999999999999,delta_BC,1453.0,True
100,avatarRT_sub_11,4,OMP,0.006640583858163,delta_EVR,1453.0,True
101,avatarRT_sub_11,4,OMP,0.1199999999999998,delta_BC,1453.0,True
102,avatarRT_sub_11,2,IM,0.0111110631329153,delta_EVR,1453.0,True
103,avatarRT_sub_11,2,IM,0.4800000000000001,delta_BC,1453.0,True
104,avatarRT_sub_11,3,WMP,-0.0011423430549361,delta_EVR,1453.0,True
105,avatarRT_sub_11,3,WMP,0.0799999999999999,delta_BC,1453.0,True
106,avatarRT_sub_11,4,OMP,0.006640583858163,delta_EVR,1453.0,True
107,avatarRT_sub_11,4,OMP,0.1199999999999998,delta_BC,1453.0,True
108,avatarRT_sub_13,2,IM,0.0022890323808059,delta_EVR,1453.0,True
109,avatarRT_sub_13,2,IM,0.6400000000000001,delta_BC,1453.0,True
110,avatarRT_sub_13,3,WMP,-0.0077589029243153,delta_EVR,1453.0,True
111,avatarRT_sub_13,3,WMP,0.1999999999999998,delta_BC,1453.0,True
112,avatarRT_sub_13,4,OMP,-0.0421689503174392,delta_EVR,1453.0,True
113,avatarRT_sub_13,4,OMP,-0.0400000000000001,delta_BC,1453.0,True
114,avatarRT_sub_13,2,IM,0.0022890323808059,delta_EVR,1453.0,True
115,avatarRT_sub_13,2,IM,0.6400000000000001,delta_BC,1453.0,True
116,avatarRT_sub_13,3,WMP,-0.0077589029243153,delta_EVR,1453.0,True
117,avatarRT_sub_13,3,WMP,0.1999999999999998,delta_BC,1453.0,True
118,avatarRT_sub_13,4,OMP,-0.0421689503174392,delta_EVR,1453.0,True
119,avatarRT_sub_13,4,OMP,-0.0400000000000001,delta_BC,1453.0,True
120,avatarRT_sub_13,2,IM,0.0022890323808059,delta_EVR,1453.0,True
121,avatarRT_sub_13,2,IM,0.6400000000000001,delta_BC,1453.0,True
122,avatarRT_sub_13,3,WMP,-0.0077589029243153,delta_EVR,1453.0,True
123,avatarRT_sub_13,3,WMP,0.1999999999999998,delta_BC,1453.0,True
124,avatarRT_sub_13,4,OMP,-0.0421689503174392,delta_EVR,1453.0,True
125,avatarRT_sub_13,4,OMP,-0.0400000000000001,delta_BC,1453.0,True
126,avatarRT_sub_14,2,IM,-0.0007371431509367,delta_EVR,1453.0,False
127,avatarRT_sub_14,2,IM,0.4800000000000002,delta_BC,1453.0,False
128,avatarRT_sub_14,4,WMP,0.0147804281775852,delta_EVR,1453.0,False
129,avatarRT_sub_14,4,WMP,0.2,delta_BC,1453.0,False
130,avatarRT_sub_14,3,OMP,-0.0333695507826442,delta_EVR,1453.0,False
131,avatarRT_sub_14,3,OMP,0.04,delta_BC,1453.0,False
132,avatarRT_sub_14,2,IM,-0.0007371431509367,delta_EVR,1453.0,False
133,avatarRT_sub_14,2,IM,0.4800000000000002,delta_BC,1453.0,False
134,avatarRT_sub_14,4,WMP,0.0147804281775852,delta_EVR,1453.0,False
135,avatarRT_sub_14,4,WMP,0.2,delta_BC,1453.0,False
136,avatarRT_sub_14,3,OMP,-0.0333695507826442,delta_EVR,1453.0,False
137,avatarRT_sub_14,3,OMP,0.04,delta_BC,1453.0,False
138,avatarRT_sub_14,2,IM,-0.0007371431509367,delta_EVR,1453.0,False
139,avatarRT_sub_14,2,IM,0.4800000000000002,delta_BC,1453.0,False
140,avatarRT_sub_14,4,WMP,0.0147804281775852,delta_EVR,1453.0,False
141,avatarRT_sub_14,4,WMP,0.2,delta_BC,1453.0,False
142,avatarRT_sub_14,3,OMP,-0.0333695507826442,delta_EVR,1453.0,False
143,avatarRT_sub_14,3,OMP,0.04,delta_BC,1453.0,False
144,avatarRT_sub_15,2,IM,-0.0019299618475959,delta_EVR,1453.0,True
145,avatarRT_sub_15,2,IM,0.5200000000000001,delta_BC,1453.0,True
146,avatarRT_sub_15,3,WMP,0.0155380374533575,delta_EVR,1453.0,True
147,avatarRT_sub_15,3,WMP,0.28,delta_BC,1453.0,True
148,avatarRT_sub_15,4,OMP,-0.031225080932884,delta_EVR,1453.0,True
149,avatarRT_sub_15,4,OMP,0.28,delta_BC,1453.0,True
150,avatarRT_sub_15,2,IM,-0.0019299618475959,delta_EVR,1453.0,True
151,avatarRT_sub_15,2,IM,0.5200000000000001,delta_BC,1453.0,True
152,avatarRT_sub_15,3,WMP,0.0155380374533575,delta_EVR,1453.0,True
153,avatarRT_sub_15,3,WMP,0.28,delta_BC,1453.0,True
154,avatarRT_sub_15,4,OMP,-0.031225080932884,delta_EVR,1453.0,True
155,avatarRT_sub_15,4,OMP,0.28,delta_BC,1453.0,True
156,avatarRT_sub_15,2,IM,-0.0019299618475959,delta_EVR,1453.0,True
157,avatarRT_sub_15,2,IM,0.5200000000000001,delta_BC,1453.0,True
158,avatarRT_sub_15,3,WMP,0.0155380374533575,delta_EVR,1453.0,True
159,avatarRT_sub_15,3,WMP,0.28,delta_BC,1453.0,True
160,avatarRT_sub_15,4,OMP,-0.031225080932884,delta_EVR,1453.0,True
161,avatarRT_sub_15,4,OMP,0.28,delta_BC,1453.0,True
162,avatarRT_sub_16,2,IM,0.0054627810529703,delta_EVR,1453.0,False
163,avatarRT_sub_16,2,IM,0.4,delta_BC,1453.0,False
164,avatarRT_sub_16,4,WMP,-0.0017241400146907,delta_EVR,1453.0,False
165,avatarRT_sub_16,4,WMP,-0.16,delta_BC,1453.0,False
166,avatarRT_sub_16,3,OMP,-0.0008593822537421,delta_EVR,1453.0,False
167,avatarRT_sub_16,3,OMP,-0.0799999999999999,delta_BC,1453.0,False
168,avatarRT_sub_16,2,IM,0.0054627810529703,delta_EVR,1453.0,False
169,avatarRT_sub_16,2,IM,0.4,delta_BC,1453.0,False
170,avatarRT_sub_16,4,WMP,-0.0017241400146907,delta_EVR,1453.0,False
171,avatarRT_sub_16,4,WMP,-0.16,delta_BC,1453.0,False
172,avatarRT_sub_16,3,OMP,-0.0008593822537421,delta_EVR,1453.0,False
173,avatarRT_sub_16,3,OMP,-0.0799999999999999,delta_BC,1453.0,False
174,avatarRT_sub_16,2,IM,0.0054627810529703,delta_EVR,1453.0,False
175,avatarRT_sub_16,2,IM,0.4,delta_BC,1453.0,False
176,avatarRT_sub_16,4,WMP,-0.0017241400146907,delta_EVR,1453.0,False
177,avatarRT_sub_16,4,WMP,-0.16,delta_BC,1453.0,False
178,avatarRT_sub_16,3,OMP,-0.0008593822537421,delta_EVR,1453.0,False
179,avatarRT_sub_16,3,OMP,-0.0799999999999999,delta_BC,1453.0,False
180,avatarRT_sub_17,2,IM,0.0129362016128855,delta_EVR,1453.0,True
181,avatarRT_sub_17,2,IM,0.6000000000000001,delta_BC,1453.0,True
182,avatarRT_sub_17,3,WMP,0.0051840452159929,delta_EVR,1453.0,True
183,avatarRT_sub_17,3,WMP,0.1599999999999999,delta_BC,1453.0,True
184,avatarRT_sub_17,4,OMP,-0.0406930103777304,delta_EVR,1453.0,True
185,avatarRT_sub_17,4,OMP,0.04,delta_BC,1453.0,True
186,avatarRT_sub_17,2,IM,0.0129362016128855,delta_EVR,1453.0,True
187,avatarRT_sub_17,2,IM,0.6000000000000001,delta_BC,1453.0,True
188,avatarRT_sub_17,3,WMP,0.0051840452159929,delta_EVR,1453.0,True
189,avatarRT_sub_17,3,WMP,0.1599999999999999,delta_BC,1453.0,True
190,avatarRT_sub_17,4,OMP,-0.0406930103777304,delta_EVR,1453.0,True
191,avatarRT_sub_17,4,OMP,0.04,delta_BC,1453.0,True
192,avatarRT_sub_17,2,IM,0.0129362016128855,delta_EVR,1453.0,True
193,avatarRT_sub_17,2,IM,0.6000000000000001,delta_BC,1453.0,True
