,subject_id,session_type,proportion,MSE,true_score,instantaneous_density,proportional_density,max_normed_density,z,pval_2t,metric,simulated_change,percentile,absolute_z
0,avatarRT_sub_05,IM,0.2,0.0008274429884234513,-0.0037972256627950285,2.8313635242144035,0.07409805192016813,0.08225724476070284,-2.2549862278212363,0.024134193252984232,variance,subselection,0.97799998,2.2549862278212363
1,avatarRT_sub_05,IM,0.2,0.00208938609698254,-0.0948110414856056,8.666481846321531,0.9883969748100466,0.9885536337353598,0.2096876912624977,0.8339114329207502,entropy,subselection,0.17000001999999995,0.2096876912624977
2,avatarRT_sub_05,IM,0.2,0.0005418264434821825,-0.0037972256627950285,14.20235162103405,0.5736096134718892,0.5794509965539487,-1.0637183722559946,0.2874562990632925,variance,realignment,0.69399998,1.0637183722559946
3,avatarRT_sub_05,IM,0.2,0.01563781301731793,-0.0948110414856056,0.40698863170530747,0.022934844789109128,0.04301241483309124,-2.791058764514245,0.005253593309190616,entropy,realignment,0.98999998,2.791058764514245
0,avatarRT_sub_05,WMP,0.2,0.0002901530589940131,0.012133764252580836,21.04444459782894,0.6435564100427337,0.6469002436644027,-1.083008885085737,0.27880447928509466,variance,subselection,0.71599998,1.083008885085737
1,avatarRT_sub_05,WMP,0.2,0.008596267762691786,0.02525556334335821,1.0731961634234601,0.104814254947772,0.10784776619679043,1.6577357096881125,0.0973708227700266,entropy,subselection,0.8580000200000001,1.6577357096881125
2,avatarRT_sub_05,WMP,0.2,0.0004325958931139352,0.012133764252580836,18.69377393116635,0.851841867758807,0.8527545777462764,-0.5784215124039598,0.5629795734941279,variance,realignment,0.39999998,0.5784215124039598
3,avatarRT_sub_05,WMP,0.2,0.0028063383220477576,0.02525556334335821,6.466304388514734,0.7474680400299821,0.7487173920181813,-0.584293783523619,0.5590226738495989,entropy,realignment,0.43399997999999995,0.584293783523619
0,avatarRT_sub_06,IM,0.2,0.002261618933858988,0.06669892605976593,0.9816413355371457,0.024130099756104667,0.041490114566427684,2.7659485904827044,0.005675748173227628,variance,subselection,0.9960000199999999,2.7659485904827044
1,avatarRT_sub_06,IM,0.2,0.0415506927808798,0.05337410082135463,0.004216446601883193,-0.009879550002127077,0.0006134694178948938,3.31444993467485,0.0009182362181720968,entropy,subselection,1.0000000199999999,3.31444993467485
2,avatarRT_sub_06,IM,0.2,0.010184283683793255,0.06669892605976593,9.942019258994768e-13,-0.008595042365813007,4.633103262622598e-14,5.709343176331307,1.1341300418172377e-08,variance,realignment,1.0000000199999999,5.709343176331307
3,avatarRT_sub_06,IM,0.2,0.023217434659254594,0.05337410082135463,1.903511384662942,0.41123525754291806,0.4136525405248615,1.3887567707541977,0.16490672462382516,entropy,realignment,0.8680000200000001,1.3887567707541977
0,avatarRT_sub_06,WMP,0.2,0.011563000629978696,-0.08501666703625181,6.349643911779674e-171,-0.013661856621327876,1.6893681025751845e-172,-10.133333604063157,3.930172947355239e-24,variance,subselection,0.99999998,10.133333604063157
1,avatarRT_sub_06,WMP,0.2,0.10884621704384129,-0.42620234932651835,3.927574873331423e-120,-0.00486907332679476,3.684353578905939e-121,-9.156062353685327,5.3825560893650964e-20,entropy,subselection,0.99999998,9.156062353685327
2,avatarRT_sub_06,WMP,0.2,0.008297799905326388,-0.08501666703625181,9.829323954325189e-88,-0.007341313594288849,2.649444390570517e-89,-8.110616287508218,5.036366253318591e-16,variance,realignment,0.99999998,8.110616287508218
3,avatarRT_sub_06,WMP,0.2,0.1654626856831866,-0.42620234932651835,1.877e-321,-0.004593804477492202,1.6e-322,-13.207186540310788,7.974987356785278e-40,entropy,realignment,0.99999998,13.207186540310788
0,avatarRT_sub_07,IM,0.2,0.0027414015731732125,-0.0216553148531905,0.05139839658826391,-0.0024172365665162325,0.0017236005081721387,-3.6183411928908074,0.00029649734757944787,variance,subselection,0.99999998,3.6183411928908074
1,avatarRT_sub_07,IM,0.2,0.0044372813562395435,-0.04641222330514738,4.956545075783663,0.6903132962837477,0.6916208075766846,0.710306699063679,0.4775139664909488,entropy,subselection,0.4920000199999998,0.710306699063679
2,avatarRT_sub_07,IM,0.2,0.0006484370292032904,-0.0216553148531905,13.347195146886678,0.5513453237783366,0.5547753792919838,-1.1764823381222387,0.23940218611686392,variance,realignment,0.7639999799999999,1.1764823381222387
3,avatarRT_sub_07,IM,0.2,0.0070788854626593865,-0.04641222330514738,2.0532282875013252,0.20120484349925208,0.212509771245349,-1.8612489073811849,0.06270903467948144,entropy,realignment,0.91999998,1.8612489073811849
0,avatarRT_sub_07,WMP,0.2,0.00630214226556297,-0.03588406384362544,0.045187799370058276,-0.002993754801013208,0.002592630917709825,-3.677647364936002,0.00023539508307807608,variance,subselection,0.99999998,3.677647364936002
1,avatarRT_sub_07,WMP,0.2,0.031046310183814155,0.04007754517489737,0.005559600082212989,-0.004561247835129402,0.0006890240093560065,3.6488078544736178,0.00026346005746397615,entropy,subselection,1.0000000199999999,3.6488078544736178
2,avatarRT_sub_07,WMP,0.2,0.009679490847975014,-0.03588406384362544,5.922376647167846e-06,-0.026589052291974814,3.7824363831954307e-07,3.9603174126643905,7.485020559947114e-05,variance,realignment,1.0000000199999999,3.9603174126643905
3,avatarRT_sub_07,WMP,0.2,0.08073404606449978,0.04007754517489737,0.02764541279755864,-0.001702743880674483,0.007094862351001575,2.573828265188622,0.010058018356808314,entropy,realignment,1.0000000199999999,2.573828265188622
0,avatarRT_sub_08,IM,0.2,0.005069391623954419,-0.0427633548423154,7.050636012242391e-07,-0.003972219559126504,2.4909909200642753e-08,-4.891585039461555,1.0002715850979603e-06,variance,subselection,0.99999998,4.891585039461555
1,avatarRT_sub_08,IM,0.2,0.0020652271857075277,-0.03422307639492539,8.448044913803926,0.9987922316622935,0.9987995160871687,0.35236779943231494,0.7245624476653403,entropy,subselection,0.22000001999999996,0.35236779943231494
2,avatarRT_sub_08,IM,0.2,0.0005961199036877413,-0.0427633548423154,14.940512616512743,0.7603887626343142,0.7622397296154976,-0.6413262978312919,0.5213107067388671,variance,realignment,0.47199998,0.6413262978312919
3,avatarRT_sub_08,IM,0.2,0.01145276663134668,-0.03422307639492539,3.8318570338699347,0.7882375780823809,0.7897403356266631,0.7563653355518245,0.4494301854000802,entropy,realignment,0.53400002,0.7563653355518245
0,avatarRT_sub_08,WMP,0.2,0.0019118686843216394,-0.013668952554174024,0.3865417998501981,0.008479575017166646,0.013405662609951248,-3.0727602096927344,0.0021208883644507617,variance,subselection,0.99799998,3.0727602096927344
1,avatarRT_sub_08,WMP,0.2,0.0030681584984244524,-0.028580387464514967,7.099669242295366,0.910177687169574,0.9111034678625033,0.5918801559169129,0.5539308429643224,entropy,subselection,0.42800002000000004,0.5918801559169129
2,avatarRT_sub_08,WMP,0.2,0.0003496719299613026,-0.013668952554174024,20.174374988885678,0.9794710368164149,0.9796333012230175,-0.19313967713822613,0.8468495797526927,variance,realignment,0.12799998,0.19313967713822613
3,avatarRT_sub_08,WMP,0.2,0.005971417033737364,-0.028580387464514967,4.22732208000194,0.5872586081693099,0.5905370973941491,-1.0368268016200477,0.2998165824220591,entropy,realignment,0.68599998,1.0368268016200477
0,avatarRT_sub_10,IM,0.2,0.0028874799904746312,-0.028793390465271324,0.11252786210612285,-0.00040436901150305173,0.0039062074134276754,-3.8884575004337965,0.00010088333076657891,variance,subselection,0.99999998,3.8884575004337965
1,avatarRT_sub_10,IM,0.2,0.002952923287580787,-0.11235396564641187,7.363459933455188,0.9802723241879711,0.9803497164799146,0.12383377059251008,0.9014468925328584,entropy,subselection,0.07600001999999989,0.12383377059251008
2,avatarRT_sub_10,IM,0.2,0.0011562107834873921,-0.028793390465271324,2.0323653058558286,0.06102174382202871,0.07327583123431537,-2.3121254868422376,0.0207707690078188,variance,realignment,0.99599998,2.3121254868422376
3,avatarRT_sub_10,IM,0.2,0.01784152525073315,-0.11235396564641187,0.23705153709213256,0.016899429188693804,0.026591197192766588,-2.8918018040119198,0.0038303950014413404,entropy,realignment,0.9919999799999999,2.8918018040119198
0,avatarRT_sub_10,WMP,0.2,0.001845528354592897,0.0034981627310548824,3.018752543493846,0.14555701484048217,0.15750104926020753,-1.9940396967545362,0.04614771648701645,variance,subselection,0.96399998,1.9940396967545362
1,avatarRT_sub_10,WMP,0.2,0.0053837906533669355,-0.02849229335033776,3.0538010427542375,0.2941998069673253,0.30258282955548327,1.6069592421736398,0.10806330926275716,entropy,subselection,0.90400002,1.6069592421736398
