term,coef,std_err,z,p_value,CI_lower,CI_upper,R2_full_model
Intercept,0.4769358978277108,0.027186239413263102,17.543283224197328,6.69454177407327e-69,0.42365184770263176,0.5302199479527898,0.7377132789288066
C(session_type)[T.OMP],-0.5224789472906888,0.0417776450278295,-12.506184753655884,6.906241641941699e-36,-0.6043616269041334,-0.4405962676772441,0.7377132789288066
C(session_type)[T.WMP],-0.39194103751611215,0.04918683473861134,-7.968413491109259,1.6072431646772795e-15,-0.488345462117314,-0.2955366129149103,0.7377132789288066
wmp_first[T.True],0.06786818587755034,0.02671625495264281,2.5403330668109496,0.01107469474527645,0.015505288368580582,0.12023108338652008,0.7377132789288066
delta_EVR,-2.0033231944973515,1.0370175696593964,-1.931812201750192,0.05338268950550576,-4.035840282365025,0.029193893370321966,0.7377132789288066
delta_EVR:C(session_type)[T.OMP],1.2413607723298243,2.1708238845348427,0.5718385453437275,0.5674313611174866,-3.0133758581378043,5.496097402797453,0.7377132789288066
delta_EVR:C(session_type)[T.WMP],7.850819551337267,2.7899470403386277,2.813967232289965,0.004893421612192287,2.382623833499439,13.319015269175095,0.7377132789288066
