,sum_sq,df,F,PR(>F),partial_eta_sq,R2_full_model
Intercept,5.906414917964152,1.0,307.7667862844034,2.5188954257213208e-12,0.8675186014670443,0.7377132789288066
C(session_type),3.943201039258821,2.0,102.73459690707868,3.2138221757615e-10,0.8138386735825016,0.7377132789288066
wmp_first,0.12384643948259343,1.0,6.453292090333124,0.021125716675171123,0.12072768276699244,0.7377132789288066
delta_EVR,0.07161961999469948,1.0,3.7318983828309236,0.07022600708690989,0.07356118146160091,0.7377132789288066
delta_EVR:C(session_type),0.16701104154972946,2.0,4.351239478235651,0.029787100286830966,0.15623144821385512,0.7377132789288066
Residual,0.9019865479824295,47.0,,,0.5,0.7377132789288066
