model,term,F,df_num,df_denom,p_value,coef,std_err,CI_lower,CI_upper,R2,adj_R2,partial_eta_squared,eta_squared
delta_BC ~ session_type ,F-test (C(session_type)),18.42827502888962,2.0,102.0,1.4713766055669977e-07,,,,,0.26542896278528416,0.2510256091144074,0.2654289627852842,
delta_BC ~ session_type,Intercept,,,102.0,3.296819952723703e-14,0.2754285714285716,0.03122716212308934,0.21348964342113985,0.3373674994360033,,,,
delta_BC ~ session_type,C(session_type)[T.OMP],,,102.0,3.770861250762101e-08,-0.2628571428571431,0.04416187618889634,-0.35045201488410377,-0.17526227083018248,,,,
delta_BC ~ session_type,C(session_type)[T.WMP],,,102.0,0.00011529708490339983,-0.1771428571428572,0.044161876188896325,-0.26473772916981786,-0.0895479851158966,,,,
delta_BC ~ session_type : wmp_first + wmp_first,F-test (wmp_first),3.952955333838035,1.0,67.0,0.0508769437020664,,,,,0.20533065952320373,0.18160918667315007,,0.055712342287070865
delta_BC ~ session_type : wmp_first + wmp_first,F-test (session_type:wmp_first),13.358841519681521,1.0,67.0,0.0005063726084521394,,,,,0.20533065952320373,0.18160918667315007,,0.16623984700438554
delta_BC ~ session_type : wmp_first + wmp_first,Intercept,,,67.0,0.06882807230144801,0.03519999999999994,0.019034360132971145,-0.0027927418284715982,0.07319274182847148,,,,
delta_BC ~ session_type : wmp_first + wmp_first,wmp_first,,,67.0,0.4034728438827634,-0.03919999999999998,0.04662446990615384,-0.13226283140905037,0.05386283140905041,,,,
delta_BC ~ session_type : wmp_first + wmp_first,session_type[T.WMP]:wmp_first,,,67.0,0.0005063726084521406,0.2200000000000001,0.06019193182409433,0.09985640126727971,0.3401435987327205,,,,
