comparison,test,group1,group2,n1,n2,mean1,mean2,p_value,ci_lower,ci_upper,cohens_d,significant_0.05
delta_EVR: IM vs 0,"permutation_test (n_iter=10000, alternative=greater)",IM,0 (null),18,,0.010635883547224211,0.0,0.0045995400459954,0.003476473515839516,0.01718762926341091,0.6982779559553765,True
delta_EVR: WMP vs 0,"permutation_test (n_iter=10000, alternative=greater)",WMP,0 (null),18,,0.00713895894509896,0.0,0.04079592040795921,0.0001240780868780733,0.014902693555713619,0.4236415174107489,True
delta_EVR: OMP vs 0,"permutation_test (n_iter=10000, alternative=two-sided)",OMP,0 (null),18,,-0.0044543631156090556,0.0,0.3615638436156384,-0.013552006891290894,0.0038942382149162575,-0.2257828473244586,False
delta_EVR: IM vs WMP,"permutation_test (n_iter=10000, alternative=two-sided)",IM,WMP,18,18.0,0.010635883547224211,0.00713895894509896,0.5337466253374663,-0.006740807596865731,0.013221237048349726,0.1544095496928298,False
delta_EVR: IM vs OMP,"permutation_test (n_iter=10000, alternative=greater)",IM,OMP,18,18.0,0.010635883547224211,-0.0044543631156090556,0.0053994600539946005,0.005157478027858607,0.024898878654257387,0.6876422281897855,True
delta_EVR: WMP vs OMP,"permutation_test (n_iter=10000, alternative=greater)",WMP,OMP,18,18.0,0.00713895894509896,-0.0044543631156090556,0.034996500349965,0.0002994116805077166,0.022892309840477604,0.4599848138762262,True
