comparison,test,group1,group2,n1,n2,mean1,mean2,p_value,ci_lower,ci_upper,cohens_d,significant_0.05
mse: voxel vs T-PHATE,"permutation_test (n_iter=10000, alternative=two-sided)",voxel,T-PHATE,18,18,2.891953064833334,1.000715377675926,0.00019998000199980003,1.5965390341064813,2.2332848736284725,2.6086322210994513,True
mantel_z: voxel vs T-PHATE,"permutation_test (n_iter=10000, alternative=two-sided)",voxel,T-PHATE,18,18,0.7548823839444445,6.682480137703703,0.00019998000199980003,-8.318949167090045,-3.674053087977315,-1.122737350738599,True
