term,coef,std_err,z,p_value,CI_lower,CI_upper
C(session_type)[IM],0.47693588048845664,0.042188396492639994,11.30490656528415,1.2408617180164662e-29,0.3942481427973863,0.559623618179527
C(session_type)[OMP],-0.04554304444895818,0.03907604194712556,-1.1654978902567263,0.24381751371214921,-0.12213067932370068,0.03104459042578432
C(session_type)[WMP],0.08499486341683306,0.04196039252621947,2.0255974336684996,0.042806054746490636,0.0027540052882792376,0.16723572154538688
wmp_first[T.True],0.06786818548841698,0.03838433274953498,1.7681220598849459,0.0770405002803761,-0.007363724271272895,0.14310009524810685
delta_EVR,-2.003321543911525,1.7308685663602292,-1.157408241646115,0.24710560842309037,-5.3957615959500504,1.3891185081270012
delta_EVR:C(session_type)[T.OMP],1.241360198852954,2.770101695620379,0.4481280238973121,0.6540608041895728,-4.187939358076324,6.670659755782232
delta_EVR:C(session_type)[T.WMP],7.850817496063648,2.44850978669824,3.206365577427525,0.0013442309280676014,3.0518264983412475,12.649808493786049
