subject_id,session_type,proportion,MSE,true_score,instantaneous_density,proportional_density,max_normed_density,z,pval_2t,metric,simulated_change,percentile,absolute_z
avatarRT_sub_16,WMP,BC,0.003025349,-0.036220508,9.72E-05,-0.017758806,3.69E-06,-3.737804021,0.000185635,variance,subselection,0.99999998,3.737804021
avatarRT_sub_16,WMP,BC,0.006436233,-0.036220508,3.85E-08,-0.027340621,1.76E-09,4.348821159,1.37E-05,variance,realignment,1.00000002,4.348821159
avatarRT_sub_17,IM,BC,0.041929305,-0.084118207,2.91E-140,-0.00634483,1.68E-141,-9.270522906,1.85E-20,variance,subselection,0.99999998,9.270522906
avatarRT_sub_17,IM,BC,0.00076601,-0.084118207,13.813435,0.742122249,0.7444038,-0.847997516,0.396439354,variance,realignment,0.60599998,0.847997516
avatarRT_sub_17,WMP,BC,0.001250547,-0.008139894,6.615540538,0.322833946,0.333389183,-1.551592658,0.120759721,variance,subselection,0.88999998,1.551592658
avatarRT_sub_17,WMP,BC,0.000605961,-0.008139894,14.05968654,0.767661856,0.769425284,0.716075633,0.473944649,variance,realignment,0.47400002,0.716075633
avatarRT_sub_18,IM,BC,0.001880823,0.014801827,0.477286992,0.01290301,0.017493712,-2.793010749,0.005221996,variance,subselection,0.99399998,2.793010749
avatarRT_sub_18,IM,BC,0.00056332,0.014801827,15.16781942,0.689231707,0.693714818,0.765730014,0.443836964,variance,realignment,0.56000002,0.765730014
avatarRT_sub_18,WMP,BC,0.001514943,-0.021798137,1.349577825,0.042586286,0.048502905,-2.458927493,0.013935276,variance,subselection,0.98199998,2.458927493
avatarRT_sub_18,WMP,BC,0.000460907,-0.021798137,17.98198202,0.969605275,0.969842796,-0.061519787,0.950945256,variance,realignment,0.04799998,0.061519787
avatarRT_sub_19,IM,BC,0.011227936,-0.009929236,2.68E-26,-0.004083906,1.14E-27,-6.168915181,6.88E-10,variance,subselection,0.99999998,6.168915181
avatarRT_sub_19,IM,BC,0.004111238,-0.009929236,0.119392124,-0.013328071,0.005753792,3.204188987,0.001354435,variance,realignment,1.00000002,3.204188987
avatarRT_sub_19,WMP,BC,0.000472239,0.027405258,16.20784739,0.698170706,0.700082663,0.819039781,0.412763717,variance,subselection,0.60800002,0.819039781
avatarRT_sub_19,WMP,BC,0.006842066,0.027405258,0.010883018,-0.007296722,0.000565822,3.884635809,0.000102483,variance,realignment,1.00000002,3.884635809
avatarRT_sub_21,IM,BC,0.005262194,-0.008457723,2.42E-10,-0.010508682,9.40E-12,-4.781871295,1.74E-06,variance,subselection,0.99999998,4.781871295
avatarRT_sub_21,IM,BC,0.002076705,-0.008457723,1.929359289,0.086442504,0.092830973,-2.162686498,0.0305653,variance,realignment,0.97199998,2.162686498
avatarRT_sub_21,WMP,BC,0.014992354,-0.077396694,1.42E-81,-0.004184263,5.51E-83,-8.228971758,1.89E-16,variance,subselection,0.99999998,8.228971758
avatarRT_sub_21,WMP,BC,0.000437383,-0.077396694,19.36257597,0.999490375,0.999493683,-0.26446003,0.79142546,variance,realignment,0.17599998,0.26446003
