model,term,F,df_num,df_denom,p_value,coef,std_err,CI_lower,CI_upper,R2,adj_R2,partial_eta_squared,eta_squared
delta_BC ~ session_type ,F-test (C(session_type)),51.87026647966343,2.0,51.0,5.106639946497109e-13,,,,,0.6704160246533128,0.6574911628750113,0.670416024653313,
delta_BC ~ session_type,Intercept,,,51.0,4.269324767167834e-19,0.4933333333333335,0.03525197193143195,0.422562046688304,0.564104619978363,,,,
delta_BC ~ session_type,C(session_type)[T.OMP],,,51.0,1.1672385661757251e-13,-0.5000000000000002,0.049853816805826734,-0.6000857133999948,-0.39991428660000555,,,,
delta_BC ~ session_type,C(session_type)[T.WMP],,,51.0,2.771400720988529e-08,-0.3266666666666666,0.04985381680582674,-0.4267523800666613,-0.22658095326667194,,,,
delta_BC ~ session_type : wmp_first + wmp_first,F-test (wmp_first),1.0176388297548782,1.0,33.0,0.3204196576521765,,,,,0.22739661654135335,0.1805721690590112,,0.029915034222327035
delta_BC ~ session_type : wmp_first + wmp_first,F-test (session_type:wmp_first),8.695091539444071,1.0,33.0,0.005823442115516597,,,,,0.22739661654135335,0.1805721690590112,,0.20853993164203533
delta_BC ~ session_type : wmp_first + wmp_first,Intercept,,,33.0,0.2797508007743643,0.047499999999999994,0.0432237834362687,-0.040439448614726016,0.135439448614726,,,,
delta_BC ~ session_type : wmp_first + wmp_first,wmp_first,,,33.0,0.4315420564100504,-0.055500000000000084,0.06969625658396715,-0.1972981001950354,0.08629810019503525,,,,
delta_BC ~ session_type : wmp_first + wmp_first,session_type[T.WMP]:wmp_first,,,33.0,0.005823442115516601,0.22800000000000004,0.077321054406581,0.0706891319948984,0.38531086800510167,,,,
