comparison,test,group1,group2,n1,n2,mean1,mean2,p_value,ci_lower,ci_upper,cohens_d,significant_0.05
z-EVR: IM vs 0,"permutation_test (n_iter=10000, alternative=greater)",IM,0 (null),18,,0.574372673499309,0.0,0.0015998400159984002,0.24546146467710928,0.8800216585139465,0.805527159107302,True
z-EVR: WMP vs 0,"permutation_test (n_iter=10000, alternative=greater)",WMP,0 (null),18,,0.40880189064835837,0.0,0.029597040295970403,0.030424326342912995,0.8167291475143299,0.46504547046814104,True
z-EVR: OMP vs 0,"permutation_test (n_iter=10000, alternative=greater)",OMP,0 (null),18,,-0.16495356620814167,0.0,0.7652234776522348,-0.5886533278249293,0.23937728274923986,-0.17678935002161264,False
z-EVR: IM vs WMP,"permutation_test (n_iter=10000, alternative=greater)",IM,WMP,18,18.0,0.574372673499309,0.40880189064835837,0.29027097290270976,-0.3814562952103661,0.6707407903241187,0.1389544984462356,False
z-EVR: IM vs OMP,"permutation_test (n_iter=10000, alternative=greater)",IM,OMP,18,18.0,0.574372673499309,-0.16495356620814167,0.004899510048995101,0.26786309856738855,1.2108774283473895,0.7046091437848268,True
z-EVR: WMP vs OMP,"permutation_test (n_iter=10000, alternative=greater)",WMP,OMP,18,18.0,0.40880189064835837,-0.16495356620814167,0.0292970702929707,0.034344095022926166,1.0961178965810108,0.4790562588429473,True
