comparison,test,group1,group2,n1,n2,mean1,mean2,p_value,ci_lower,ci_upper,cohens_d,significant_0.05
MSE: IM vs 0,"permutation_test (n_iter=10000, alternative=greater)",IM,0 (null),18,,0.9306388347347698,0.0,9.999000099990002e-05,0.897721632660242,0.9599024863964216,13.340886413856785,True
MSE: WMP vs 0,"permutation_test (n_iter=10000, alternative=greater)",WMP,0 (null),18,,0.9232823375439134,0.0,9.999000099990002e-05,0.8930296677321231,0.9538572314659595,13.561810101183944,True
MSE: OMP vs 0,"permutation_test (n_iter=10000, alternative=greater)",OMP,0 (null),18,,0.9246106494514075,0.0,9.999000099990002e-05,0.8838455978204817,0.96217006374579,10.539450921184754,True
MSE: IM vs WMP,"permutation_test (n_iter=10000, alternative=two-sided)",IM,WMP,18,18.0,0.9306388347347698,0.9232823375439134,0.6761323867613239,-0.024781419261617806,0.04110617931793588,0.0990165920132288,False
MSE: IM vs OMP,"permutation_test (n_iter=10000, alternative=two-sided)",IM,OMP,18,18.0,0.9306388347347698,0.9246106494514075,0.7245275472452755,-0.02686507772999292,0.03905548687086921,0.08135043717820203,False
MSE: WMP vs OMP,"permutation_test (n_iter=10000, alternative=two-sided)",WMP,OMP,18,18.0,0.9232823375439134,0.9246106494514075,0.9721027897210279,-0.037247766314872144,0.03124835227014296,-0.01716270169720566,False
