,subject_id,session_type,proportion,MSE,true_score,instantaneous_density,proportional_density,max_normed_density,z,pval_2t,metric,simulated_change,percentile,absolute_z
0,avatarRT_sub_05,IM,BC,0.0029568743387576157,-0.0037972256627950285,0.00016159615344102924,-0.004882108074726832,5.783670329496508e-06,-3.872307244689408,0.00010780992957864785,variance,subselection,0.99999998,3.872307244689408
1,avatarRT_sub_05,IM,BC,0.004783886310858465,-0.0948110414856056,4.143777496393534,0.4306773890272447,0.43390084866901635,1.1320572546642063,0.25761036424479467,entropy,subselection,0.7380000200000001,1.1320572546642063
2,avatarRT_sub_05,IM,BC,0.0005195324529055935,-0.0037972256627950285,14.25663406430484,0.5563272339002949,0.5581962352922376,-1.0879247853249627,0.2766283133128814,variance,realignment,0.73399998,1.0879247853249627
3,avatarRT_sub_05,IM,BC,0.01526716757289832,-0.0948110414856056,0.2769110620573177,0.016752931465471195,0.031250194609210115,-2.8730855682481455,0.004064840035168184,entropy,realignment,0.99599998,2.8730855682481455
0,avatarRT_sub_05,WMP,BC,0.004613154504800964,0.012133764252580836,8.183006391451785e-05,-0.0040676775504011504,3.114175590837074e-06,-4.370112865271183,1.2418233371169212e-05,variance,subselection,0.99999998,4.370112865271183
1,avatarRT_sub_05,WMP,BC,0.05377746034996111,0.02525556334335821,0.03546047659485723,-0.001793734404484878,0.005397721024453324,3.780007076846249,0.0001568239013079836,entropy,subselection,1.0000000199999999,3.780007076846249
2,avatarRT_sub_05,WMP,BC,0.00042478330658548923,0.012133764252580836,21.089021903123957,0.9969039850229693,0.9969588860449075,-0.5477233526532019,0.5838818747060646,variance,realignment,0.3519999800000001,0.5477233526532019
3,avatarRT_sub_05,WMP,BC,0.0028808616199843128,0.02525556334335821,6.856444019645927,0.8629368512686827,0.8635513303445914,-0.5051251985472339,0.6134709038371282,entropy,realignment,0.37999997999999996,0.5051251985472339
0,avatarRT_sub_06,IM,BC,0.0008170411763971184,0.06669892605976593,10.05481827835926,0.4564710948406885,0.45995990344288157,1.2053581080237252,0.22806508625867206,variance,subselection,0.7520000199999999,1.2053581080237252
1,avatarRT_sub_06,IM,BC,0.06368524013628508,0.05337410082135463,3.592483584401963e-06,-0.006364014534509235,6.052349726116346e-07,3.8188726295369704,0.00013406295761788847,entropy,subselection,1.0000000199999999,3.8188726295369704
2,avatarRT_sub_06,IM,BC,0.01033795174883643,0.06669892605976593,2.5317648821633638e-23,-0.009086239499419202,1.0673616572379778e-24,5.952743462249302,2.6368445348108265e-09,variance,realignment,1.0000000199999999,5.952743462249302
3,avatarRT_sub_06,IM,BC,0.02374014486711626,0.05337410082135463,1.7944638081849145,0.4135998944063535,0.4160670056397531,1.4281784373558768,0.15324050534279549,entropy,realignment,0.8720000199999999,1.4281784373558768
0,avatarRT_sub_06,WMP,BC,0.011609689927322591,-0.08501666703625181,2.4083477755764095e-187,-0.015278537227045209,6.458295406693088e-189,-10.245782222347628,1.2362084098579373e-24,variance,subselection,0.99999998,10.245782222347628
1,avatarRT_sub_06,WMP,BC,0.10871459846475366,-0.42620234932651835,1.4348774565029314e-130,-0.00828873262209136,1.1935216763545746e-131,-9.297568900318264,1.4369353739428172e-20,entropy,subselection,0.99999998,9.297568900318264
2,avatarRT_sub_06,WMP,BC,0.008206158048850717,-0.08501666703625181,2.9558991768904243e-100,-0.00835414294120994,8.906309420693053e-102,-8.098310697815197,5.572759501765053e-16,variance,realignment,0.99999998,8.098310697815197
3,avatarRT_sub_06,WMP,BC,0.1637158653042663,-0.42620234932651835,1.927e-321,-0.011661315573783781,1.6e-322,-12.775478128393528,2.247622481978786e-37,entropy,realignment,0.99999998,12.775478128393528
0,avatarRT_sub_07,IM,BC,0.013857535765434683,-0.0216553148531905,6.799058189992998e-33,-0.005048523643687656,3.1684270541210486e-34,-6.312754338113096,2.7411244377587814e-10,variance,subselection,0.99999998,6.312754338113096
1,avatarRT_sub_07,IM,BC,0.02370025586094448,-0.04641222330514738,0.4966744862846068,0.06869410976518724,0.07543891679426527,2.295679840459874,0.021694193944501207,entropy,subselection,0.9780000200000001,2.295679840459874
2,avatarRT_sub_07,IM,BC,0.0006987102535185633,-0.0216553148531905,12.311340075373614,0.5106446638174965,0.5149856326653381,-1.2214092702224675,0.22193109900979624,variance,realignment,0.7819999799999999,1.2214092702224675
3,avatarRT_sub_07,IM,BC,0.0075631999351384645,-0.04641222330514738,1.8424483145441013,0.17834494644711787,0.1828008231598664,-1.8743793894699594,0.060878152193908935,entropy,realignment,0.91599998,1.8743793894699594
0,avatarRT_sub_07,WMP,BC,0.0062623519141031935,-0.03588406384362544,0.0009268912876854703,-0.009367321566743922,4.742337244794112e-05,-3.6053036121413293,0.00031178819916872987,variance,subselection,0.99999998,3.6053036121413293
1,avatarRT_sub_07,WMP,BC,0.030193713079813424,0.04007754517489737,0.005185782973771414,-0.005345300497974031,0.0006119804497518623,3.7319404901450857,0.0001900103956530235,entropy,subselection,1.0000000199999999,3.7319404901450857
2,avatarRT_sub_07,WMP,BC,0.009818986602473594,-0.03588406384362544,0.003917405782607676,-0.004894328625472796,0.00024402401363026106,3.986847446202482,6.695704713029893e-05,variance,realignment,1.0000000199999999,3.986847446202482
3,avatarRT_sub_07,WMP,BC,0.08188943266442325,0.04007754517489737,0.03302668469772787,-0.00015888879789204488,0.008306911087688733,2.5860870181913334,0.009707242007672475,entropy,realignment,1.0000000199999999,2.5860870181913334
0,avatarRT_sub_08,IM,BC,0.02332944855911989,-0.0427633548423154,1.1214662349436607e-21,-0.004182271703339061,5.913413801850573e-23,-7.533807829786012,4.928163900894275e-14,variance,subselection,0.99999998,7.533807829786012
1,avatarRT_sub_08,IM,BC,0.007540092027518559,-0.03422307639492539,3.1444907210337756,0.42414368402130004,0.4320918902380802,1.2473012389933256,0.212287063327123,entropy,subselection,0.81800002,1.2473012389933256
2,avatarRT_sub_08,IM,BC,0.0006434641922501068,-0.0427633548423154,14.891035946627468,0.8268654608473617,0.829363390476185,-0.6549709533150752,0.5124864556767836,variance,realignment,0.46199998000000003,0.6549709533150752
3,avatarRT_sub_08,IM,BC,0.01175572472821537,-0.03422307639492539,4.020834407015359,0.8729287313094277,0.8738272951747985,0.7082752602530656,0.4787743373757847,entropy,realignment,0.5060000199999999,0.7082752602530656
0,avatarRT_sub_08,WMP,BC,0.0009072988244768682,-0.013668952554174024,4.323176540714809,0.14320921779901727,0.1466151560483765,-1.9645679473261186,0.04946426480962297,variance,subselection,0.95399998,1.9645679473261186
1,avatarRT_sub_08,WMP,BC,0.0029244893365126074,-0.028580387464514967,6.588294664335927,0.7765965910449227,0.7774506274390188,0.4596681058255274,0.6457544658762144,entropy,subselection,0.38000001999999994,0.4596681058255274
2,avatarRT_sub_08,WMP,BC,0.0003625494031026471,-0.013668952554174024,20.653568570487927,0.9889104913853626,0.9890172704562471,-0.18089398213779023,0.8564507924880791,variance,realignment,0.11999998000000005,0.18089398213779023
3,avatarRT_sub_08,WMP,BC,0.005998895033622791,-0.028580387464514967,4.576830847893807,0.6731687114907682,0.6749898398471826,-1.0075420513305482,0.3136743603919957,entropy,realignment,0.66999998,1.0075420513305482
0,avatarRT_sub_10,IM,BC,0.012985083805367776,-0.028793390465271324,6.029805956335568e-23,-0.005261604382243268,2.863155725957221e-24,-5.909460345965388,3.432302862095375e-09,variance,subselection,0.99999998,5.909460345965388
1,avatarRT_sub_10,IM,BC,0.043955826009558205,-0.11235396564641187,0.08057567468474916,0.010089627391334288,0.014036681090209786,2.8370549085639745,0.004553178091987376,entropy,subselection,0.9960000199999999,2.8370549085639745
2,avatarRT_sub_10,IM,BC,0.0011289973817613275,-0.028793390465271324,2.174685137711959,0.06464843169909053,0.07182055468966995,-2.291324037655583,0.021944679349680772,variance,realignment,0.98799998,2.291324037655583
3,avatarRT_sub_10,IM,BC,0.017599657024290803,-0.11235396564641187,0.30597720218514063,0.024361241505788445,0.03380153390009214,-2.763604488491638,0.005716678577726213,entropy,realignment,0.9919999799999999,2.763604488491638
0,avatarRT_sub_10,WMP,BC,0.0005756518337644938,0.0034981627310548824,13.996828897667958,0.5921998305178681,0.596760355949985,-0.9745503905455725,0.3297833319704051,variance,subselection,0.68199998,0.9745503905455725
