comparison,test,group1,group2,n1,n2,mean1,mean2,p_value,ci_lower,ci_upper,cohens_d,significant_0.05
delta_BC: IM vs 0,"permutation_test (n_iter=10000, alternative=greater)",IM,0 (null),18,,0.49333333333333346,0.0,9.999000099990002e-05,0.45333333333333353,0.5333333333333334,5.548368366861699,True
delta_BC: WMP vs 0,"permutation_test (n_iter=10000, alternative=greater)",WMP,0 (null),18,,0.16666666666666663,0.0,0.0015998400159984002,0.07777777777777778,0.25555555555555554,0.8377804446616809,True
delta_BC: OMP vs 0,"permutation_test (n_iter=10000, alternative=two-sided)",OMP,0 (null),18,,-0.006666666666666658,0.0,0.8985101489851015,-0.06666666666666668,0.05777777777777778,-0.047590490466482775,False
delta_BC: IM vs WMP,"permutation_test (n_iter=10000, alternative=two-sided)",IM,WMP,18,18.0,0.49333333333333346,0.16666666666666663,0.00019998000199980003,0.2200000000000002,0.42888888888888904,1.4222681409229105,True
delta_BC: IM vs OMP,"permutation_test (n_iter=10000, alternative=greater)",IM,OMP,18,18.0,0.49333333333333346,-0.006666666666666658,9.999000099990002e-05,0.43333333333333346,0.5666666666666668,3.30962358092619,True
delta_BC: WMP vs OMP,"permutation_test (n_iter=10000, alternative=greater)",WMP,OMP,18,18.0,0.16666666666666663,-0.006666666666666658,0.009099090090990901,0.055555555555555525,0.30000000000000004,0.6348687749383289,True
IM: obs vs sim delta_BC,"permutation_ttest_ind (n_iter=10000, alternative=two-sided)",observed,simulated,18,17.0,0.4933333333333334,0.04470588235294123,0.0,0.4533333333333334,0.5333333333333334,4.53586607617507,True
WMP: obs vs sim delta_BC,"permutation_ttest_ind (n_iter=10000, alternative=two-sided)",observed,simulated,18,17.0,0.1644444444444444,0.028235294117647025,0.0127,0.07555555555555556,0.2511111111111111,0.8935035672218503,True
OMP: obs vs sim delta_BC,"permutation_ttest_ind (n_iter=10000, alternative=two-sided)",observed,simulated,18,17.0,-0.004444444444444431,0.030588235294117628,0.3864,-0.06444444444444444,0.060000000000000005,-0.29706607184094735,False
