outcome,session_type,spearman_rho,CI_lower,CI_upper,p_value
delta_BC,IM,-0.2837962122759002,-0.7115279322183837,0.22117204227168638,0.23180846026195848
delta_BC,WMP,-0.27181125024359254,-0.7220252671006181,0.2499213796764424,0.27543677056641946
delta_BC,OMP,0.03538204213277454,-0.45588014569788177,0.47827254129143465,0.8380444427907051
delta_EVR,IM,0.06028814601053407,-0.4235542403746098,0.5261942055158305,0.848430360162973
delta_EVR,WMP,0.15295870453369492,-0.3327790589757292,0.6054801670146137,0.5152947310342115
delta_EVR,OMP,0.11829942133924684,-0.4479220695020747,0.6248001251275971,0.5984607651208833
