,session_type,session_id,run,total_variance,average_variance,data_type,subject_id
58,WMP,ses_04,4,0.9453322352608456,0.7581970353212156,voxel_data,avatarRT_sub_06
59,WMP,ses_04,4,0.1332498376677823,0.10890786730141241,component_data,avatarRT_sub_06
60,OMP,ses_03,1,0.22463615516493832,0.1671004235008118,manifold_projection,avatarRT_sub_06
61,OMP,ses_03,1,1.175286079534256,0.9488016679522304,voxel_data,avatarRT_sub_06
62,OMP,ses_03,1,0.22262283073594674,0.16675080203266748,component_data,avatarRT_sub_06
63,OMP,ses_03,2,0.22197775162542713,0.1675259128502017,manifold_projection,avatarRT_sub_06
64,OMP,ses_03,2,1.0089608986439906,0.8036709585522832,voxel_data,avatarRT_sub_06
65,OMP,ses_03,2,0.21807218779972684,0.16779645145634922,component_data,avatarRT_sub_06
66,OMP,ses_03,3,0.19923936057041514,0.18176880040868235,manifold_projection,avatarRT_sub_06
67,OMP,ses_03,3,1.3964450252998208,1.228334348651539,voxel_data,avatarRT_sub_06
68,OMP,ses_03,3,0.19377603609334665,0.18159494317421093,component_data,avatarRT_sub_06
69,OMP,ses_03,4,0.12724317387286863,0.11505596570621499,manifold_projection,avatarRT_sub_06
70,OMP,ses_03,4,1.0108173221073953,0.8999046984791917,voxel_data,avatarRT_sub_06
71,OMP,ses_03,4,0.12770880582735378,0.11510367751807205,component_data,avatarRT_sub_06
72,IM,ses_02,1,0.12909538517334104,0.11679631056831379,manifold_projection,avatarRT_sub_07
73,IM,ses_02,1,1.4770947443943798,1.2375337338538386,voxel_data,avatarRT_sub_07
74,IM,ses_02,1,0.12901141067241603,0.11727837892753532,component_data,avatarRT_sub_07
75,IM,ses_02,2,0.11730516310376325,0.11320006083252174,manifold_projection,avatarRT_sub_07
76,IM,ses_02,2,1.1968911462338216,1.1753734383559165,voxel_data,avatarRT_sub_07
77,IM,ses_02,2,0.11787458645738234,0.11357172794832124,component_data,avatarRT_sub_07
