,embedding_type,metric,subject_id,embedding_dim,score
287,tphate,himalaya,avatarRT_sub_16,20,1.000670684
288,tphate,himalaya,avatarRT_sub_17,20,1.001382076
289,tphate,himalaya,avatarRT_sub_18,20,1.002539544
290,tphate,himalaya,avatarRT_sub_19,20,1.001050148
291,tphate,himalaya,avatarRT_sub_21,20,1.002928471
292,tphate,himalaya,avatarRT_sub_22,20,1.003676753
293,tphate,himalaya,avatarRT_sub_23,20,1.00578066
294,tphate,himalaya,avatarRT_sub_24,20,1.000700415
295,tphate,himalaya,avatarRT_sub_25,20,0.980170941
386,pca,p,avatarRT_sub_05,20,0.001
387,pca,p,avatarRT_sub_06,20,0.053
388,pca,p,avatarRT_sub_07,20,0.001
389,pca,p,avatarRT_sub_08,20,0.001
390,pca,p,avatarRT_sub_10,20,0.012
391,pca,p,avatarRT_sub_11,20,0.001
392,pca,p,avatarRT_sub_13,20,0.398
393,pca,p,avatarRT_sub_14,20,0.007
394,pca,p,avatarRT_sub_15,20,0.001
395,pca,p,avatarRT_sub_16,20,0.001
396,pca,p,avatarRT_sub_17,20,0.001
397,pca,p,avatarRT_sub_18,20,0.001
398,pca,p,avatarRT_sub_19,20,0.001
399,pca,p,avatarRT_sub_21,20,0.001
400,pca,p,avatarRT_sub_22,20,0.001
401,pca,p,avatarRT_sub_23,20,0.002
402,pca,p,avatarRT_sub_24,20,0.008
403,pca,p,avatarRT_sub_25,20,0.009
494,tphate,p,avatarRT_sub_05,20,0.001
495,tphate,p,avatarRT_sub_06,20,0.001
496,tphate,p,avatarRT_sub_07,20,0.001
497,tphate,p,avatarRT_sub_08,20,0.001
498,tphate,p,avatarRT_sub_10,20,0.001
499,tphate,p,avatarRT_sub_11,20,0.001
500,tphate,p,avatarRT_sub_13,20,0.024
501,tphate,p,avatarRT_sub_14,20,0.025
502,tphate,p,avatarRT_sub_15,20,0.024
503,tphate,p,avatarRT_sub_16,20,0.328
504,tphate,p,avatarRT_sub_17,20,0.001
505,tphate,p,avatarRT_sub_18,20,0.047
506,tphate,p,avatarRT_sub_19,20,0.001
507,tphate,p,avatarRT_sub_21,20,0.001
508,tphate,p,avatarRT_sub_22,20,0.001
509,tphate,p,avatarRT_sub_23,20,0.001
510,tphate,p,avatarRT_sub_24,20,0.001
511,tphate,p,avatarRT_sub_25,20,0.001
602,pca,r,avatarRT_sub_05,20,0.016331323
603,pca,r,avatarRT_sub_06,20,0.003344443
604,pca,r,avatarRT_sub_07,20,0.009529674
605,pca,r,avatarRT_sub_08,20,0.014867663
606,pca,r,avatarRT_sub_10,20,0.004630758
607,pca,r,avatarRT_sub_11,20,0.014550001
608,pca,r,avatarRT_sub_13,20,0.000300948
609,pca,r,avatarRT_sub_14,20,0.004467277
610,pca,r,avatarRT_sub_15,20,0.008493987
611,pca,r,avatarRT_sub_16,20,0.00842475
612,pca,r,avatarRT_sub_17,20,0.015403569
613,pca,r,avatarRT_sub_18,20,0.006202968
614,pca,r,avatarRT_sub_19,20,0.011958861
615,pca,r,avatarRT_sub_21,20,0.00828106
616,pca,r,avatarRT_sub_22,20,0.010497754
617,pca,r,avatarRT_sub_23,20,0.005457504
618,pca,r,avatarRT_sub_24,20,0.005083957
619,pca,r,avatarRT_sub_25,20,0.005404362
710,tphate,r,avatarRT_sub_05,20,0.049680289
711,tphate,r,avatarRT_sub_06,20,0.022546577
712,tphate,r,avatarRT_sub_07,20,0.026476207
713,tphate,r,avatarRT_sub_08,20,0.03423154
714,tphate,r,avatarRT_sub_10,20,0.00883563
715,tphate,r,avatarRT_sub_11,20,0.022798873
716,tphate,r,avatarRT_sub_13,20,0.009250871
717,tphate,r,avatarRT_sub_14,20,0.015042795
718,tphate,r,avatarRT_sub_15,20,0.007078313
719,tphate,r,avatarRT_sub_16,20,0.003463813
720,tphate,r,avatarRT_sub_17,20,0.048110437
721,tphate,r,avatarRT_sub_18,20,0.006279891
722,tphate,r,avatarRT_sub_19,20,0.050880253
723,tphate,r,avatarRT_sub_21,20,0.033405835
724,tphate,r,avatarRT_sub_22,20,0.024230058
725,tphate,r,avatarRT_sub_23,20,0.03961945
726,tphate,r,avatarRT_sub_24,20,0.012076919
727,tphate,r,avatarRT_sub_25,20,0.018842156
818,pca,z,avatarRT_sub_05,20,11.00285038
819,pca,z,avatarRT_sub_06,20,1.762500404
820,pca,z,avatarRT_sub_07,20,5.633343003
821,pca,z,avatarRT_sub_08,20,4.473369935
822,pca,z,avatarRT_sub_10,20,2.811136837
823,pca,z,avatarRT_sub_11,20,10.55718855
824,pca,z,avatarRT_sub_13,20,0.159917551
825,pca,z,avatarRT_sub_14,20,3.412045928
826,pca,z,avatarRT_sub_15,20,6.228722416
827,pca,z,avatarRT_sub_16,20,4.157237953
828,pca,z,avatarRT_sub_17,20,10.42756117
829,pca,z,avatarRT_sub_18,20,4.534889757
830,pca,z,avatarRT_sub_19,20,8.308893459
831,pca,z,avatarRT_sub_21,20,5.703439561
832,pca,z,avatarRT_sub_22,20,7.089468139
833,pca,z,avatarRT_sub_23,20,4.979159615
834,pca,z,avatarRT_sub_24,20,3.172222217
835,pca,z,avatarRT_sub_25,20,2.833246423
926,tphate,z,avatarRT_sub_05,20,11.57784233
927,tphate,z,avatarRT_sub_06,20,9.468223758
928,tphate,z,avatarRT_sub_07,20,6.741833845
929,tphate,z,avatarRT_sub_08,20,8.381810022
930,tphate,z,avatarRT_sub_10,20,4.617583211
931,tphate,z,avatarRT_sub_11,20,3.32985244
932,tphate,z,avatarRT_sub_13,20,2.10388231
933,tphate,z,avatarRT_sub_14,20,2.12622251
934,tphate,z,avatarRT_sub_15,20,2.059334175
935,tphate,z,avatarRT_sub_16,20,0.466255725
936,tphate,z,avatarRT_sub_17,20,15.72135649
937,tphate,z,avatarRT_sub_18,20,1.816135496
938,tphate,z,avatarRT_sub_19,20,12.84047359
939,tphate,z,avatarRT_sub_21,20,8.951017844
940,tphate,z,avatarRT_sub_22,20,12.26589312
941,tphate,z,avatarRT_sub_23,20,16.40789691
942,tphate,z,avatarRT_sub_24,20,4.41998234
943,tphate,z,avatarRT_sub_25,20,4.469686132
