comparison,test,group1,group2,n1,n2,mean1,mean2,p_value,ci_lower,ci_upper,cohens_d,significant_0.05
delta_BC: IM vs 0,"permutation_test (n_iter=10000, alternative=greater)",IM,0 (null),18,,0.4933333333333334,0.0,9.999000099990002e-05,0.4533333333333334,0.5333333333333334,5.548368366861697,True
delta_BC: WMP vs 0,"permutation_test (n_iter=10000, alternative=greater)",WMP,0 (null),18,,0.1644444444444444,0.0,0.0015998400159984002,0.07555555555555556,0.2511111111111111,0.8332975287689508,True
delta_BC: OMP vs 0,"permutation_test (n_iter=10000, alternative=two-sided)",OMP,0 (null),18,,-0.004444444444444431,0.0,0.9527047295270473,-0.06444444444444444,0.060000000000000005,-0.031630219882144955,False
delta_BC: IM vs WMP,"permutation_test (n_iter=10000, alternative=two-sided)",IM,WMP,18,18.0,0.4933333333333334,0.1644444444444444,0.00019998000199980003,0.22444444444444459,0.42666666666666686,1.4440894242507896,True
delta_BC: IM vs OMP,"permutation_test (n_iter=10000, alternative=greater)",IM,OMP,18,18.0,0.4933333333333334,-0.004444444444444431,9.999000099990002e-05,0.4311111111111112,0.5622222222222223,3.3654286575209706,True
delta_BC: WMP vs OMP,"permutation_test (n_iter=10000, alternative=greater)",WMP,OMP,18,18.0,0.1644444444444444,-0.004444444444444431,0.009499050094990502,0.05111111111111109,0.2933333333333333,0.622886817959722,True
IM: obs vs sim delta_BC,"permutation_ttest_ind (n_iter=10000, alternative=two-sided)",observed,simulated,18,17.0,0.4933333333333334,0.04470588235294123,0.0,0.4533333333333334,0.5333333333333334,4.53586607617507,True
WMP: obs vs sim delta_BC,"permutation_ttest_ind (n_iter=10000, alternative=two-sided)",observed,simulated,18,17.0,0.1644444444444444,0.028235294117647025,0.0127,0.07555555555555556,0.2511111111111111,0.8935035672218503,True
OMP: obs vs sim delta_BC,"permutation_ttest_ind (n_iter=10000, alternative=two-sided)",observed,simulated,18,17.0,-0.004444444444444431,0.030588235294117628,0.3864,-0.06444444444444444,0.060000000000000005,-0.29706607184094735,False
