embedding_type,metric,subject_id,embedding_dim,score
pca,himalaya,avatarRT_sub_16,3,1.00583129
pca,himalaya,avatarRT_sub_17,3,1.009652719
pca,himalaya,avatarRT_sub_18,3,0.997397266
pca,himalaya,avatarRT_sub_19,3,1.006475622
pca,himalaya,avatarRT_sub_21,3,1.063712736
pca,himalaya,avatarRT_sub_22,3,1.009046791
pca,himalaya,avatarRT_sub_23,3,1.004173223
pca,himalaya,avatarRT_sub_24,3,1.013750446
pca,himalaya,avatarRT_sub_25,3,1.011675328
pca,himalaya,avatarRT_sub_05,5,1.005857028
pca,himalaya,avatarRT_sub_06,5,1.006717501
pca,himalaya,avatarRT_sub_07,5,0.984407385
pca,himalaya,avatarRT_sub_08,5,1.004988008
pca,himalaya,avatarRT_sub_10,5,0.981578488
pca,himalaya,avatarRT_sub_11,5,0.983981676
pca,himalaya,avatarRT_sub_13,5,1.002743027
pca,himalaya,avatarRT_sub_14,5,1.02531596
pca,himalaya,avatarRT_sub_15,5,1.045280181
pca,himalaya,avatarRT_sub_16,5,1.024181027
pca,himalaya,avatarRT_sub_17,5,1.003598703
pca,himalaya,avatarRT_sub_18,5,0.994978966
pca,himalaya,avatarRT_sub_19,5,1.009455505
pca,himalaya,avatarRT_sub_21,5,1.017842298
pca,himalaya,avatarRT_sub_22,5,1.011473927
pca,himalaya,avatarRT_sub_23,5,1.007438622
pca,himalaya,avatarRT_sub_24,5,1.01409354
pca,himalaya,avatarRT_sub_25,5,0.999031411
pca,himalaya,avatarRT_sub_05,10,1.036351963
pca,himalaya,avatarRT_sub_06,10,1.021244529
pca,himalaya,avatarRT_sub_07,10,0.986930736
pca,himalaya,avatarRT_sub_08,10,1.005104779
pca,himalaya,avatarRT_sub_10,10,0.998329272
pca,himalaya,avatarRT_sub_11,10,1.000632818
pca,himalaya,avatarRT_sub_13,10,1.02251996
pca,himalaya,avatarRT_sub_14,10,1.061195457
pca,himalaya,avatarRT_sub_15,10,1.006355608
pca,himalaya,avatarRT_sub_16,10,1.036128269
pca,himalaya,avatarRT_sub_17,10,1.026773486
pca,himalaya,avatarRT_sub_18,10,1.007665656
pca,himalaya,avatarRT_sub_19,10,0.989291998
pca,himalaya,avatarRT_sub_21,10,1.039889266
pca,himalaya,avatarRT_sub_22,10,1.0265252
pca,himalaya,avatarRT_sub_23,10,1.016270322
pca,himalaya,avatarRT_sub_24,10,1.014039142
pca,himalaya,avatarRT_sub_25,10,1.016755408
pca,himalaya,avatarRT_sub_05,15,1.042258199
pca,himalaya,avatarRT_sub_06,15,1.013749979
pca,himalaya,avatarRT_sub_07,15,0.987590491
pca,himalaya,avatarRT_sub_08,15,1.005683622
pca,himalaya,avatarRT_sub_10,15,0.997684854
pca,himalaya,avatarRT_sub_11,15,1.009675879
pca,himalaya,avatarRT_sub_13,15,1.065079044
pca,himalaya,avatarRT_sub_14,15,1.080381241
pca,himalaya,avatarRT_sub_15,15,1.011228759
pca,himalaya,avatarRT_sub_16,15,1.045667017
pca,himalaya,avatarRT_sub_17,15,1.048363461
pca,himalaya,avatarRT_sub_18,15,1.021069478
pca,himalaya,avatarRT_sub_19,15,1.091143215
pca,himalaya,avatarRT_sub_21,15,1.044853593
pca,himalaya,avatarRT_sub_22,15,1.048230548
pca,himalaya,avatarRT_sub_23,15,1.026371602
pca,himalaya,avatarRT_sub_24,15,1.006299359
pca,himalaya,avatarRT_sub_25,15,1.005012798
pca,himalaya,avatarRT_sub_05,20,1.054365525
pca,himalaya,avatarRT_sub_06,20,1.010792563
pca,himalaya,avatarRT_sub_07,20,0.993632964
pca,himalaya,avatarRT_sub_08,20,1.046950596
pca,himalaya,avatarRT_sub_10,20,0.976344439
pca,himalaya,avatarRT_sub_11,20,1.058883838
pca,himalaya,avatarRT_sub_13,20,1.076976427
pca,himalaya,avatarRT_sub_14,20,1.09453284
pca,himalaya,avatarRT_sub_15,20,1.022835155
pca,himalaya,avatarRT_sub_16,20,1.052307396
pca,himalaya,avatarRT_sub_17,20,1.061998044
pca,himalaya,avatarRT_sub_18,20,0.998872228
pca,himalaya,avatarRT_sub_19,20,0.997894786
pca,himalaya,avatarRT_sub_21,20,1.054942106
pca,himalaya,avatarRT_sub_22,20,1.047121162
pca,himalaya,avatarRT_sub_23,20,1.02770172
pca,himalaya,avatarRT_sub_24,20,1.018163633
pca,himalaya,avatarRT_sub_25,20,1.035851033
tphate,himalaya,avatarRT_sub_05,2,1.005956085
tphate,himalaya,avatarRT_sub_06,2,1.000981943
tphate,himalaya,avatarRT_sub_07,2,1.000744404
tphate,himalaya,avatarRT_sub_08,2,0.999282708
tphate,himalaya,avatarRT_sub_10,2,1.001539902
tphate,himalaya,avatarRT_sub_11,2,0.995543981
tphate,himalaya,avatarRT_sub_13,2,1.001620488
tphate,himalaya,avatarRT_sub_14,2,1.000474969
tphate,himalaya,avatarRT_sub_15,2,0.999192181
tphate,himalaya,avatarRT_sub_16,2,1.000767495
tphate,himalaya,avatarRT_sub_17,2,1.004172127
tphate,himalaya,avatarRT_sub_18,2,1.005439294
tphate,himalaya,avatarRT_sub_19,2,1.001796207
tphate,himalaya,avatarRT_sub_21,2,1.010420644
tphate,himalaya,avatarRT_sub_22,2,1.003553978
tphate,himalaya,avatarRT_sub_23,2,1.003697035
tphate,himalaya,avatarRT_sub_24,2,0.999915906
tphate,himalaya,avatarRT_sub_25,2,1.003925886
tphate,himalaya,avatarRT_sub_05,3,1.007565742
tphate,himalaya,avatarRT_sub_06,3,1.001529531
tphate,himalaya,avatarRT_sub_07,3,1.001384308
tphate,himalaya,avatarRT_sub_08,3,1.000133026
tphate,himalaya,avatarRT_sub_10,3,1.000720887
tphate,himalaya,avatarRT_sub_11,3,0.993553609
tphate,himalaya,avatarRT_sub_13,3,1.002279074
