,session_type,session_id,delta_total_variance,delta_average_variance,data_type,subject_id
59,WMP,ses_03,-0.0255232449085447,-0.030040274544050116,component_data,avatarRT_sub_11
60,OMP,ses_04,0.014622711475280423,0.021192308296574328,manifold_projection,avatarRT_sub_11
61,OMP,ses_04,-0.008639491988706727,0.10358391091905517,voxel_data,avatarRT_sub_11
62,OMP,ses_04,0.014635768024889612,0.02127853194483348,component_data,avatarRT_sub_11
63,IM,ses_02,-0.23517521535776706,-0.20690458037871481,manifold_projection,avatarRT_sub_13
64,IM,ses_02,-0.64695190650391,-0.5206695438227511,voxel_data,avatarRT_sub_13
65,IM,ses_02,-0.2382014809250621,-0.20881107082627212,component_data,avatarRT_sub_13
66,WMP,ses_03,0.07109526611162872,0.08734069179396042,manifold_projection,avatarRT_sub_13
67,WMP,ses_03,0.44139702129528147,0.47739541369183547,voxel_data,avatarRT_sub_13
68,WMP,ses_03,0.07478386383093913,0.08933756198213916,component_data,avatarRT_sub_13
69,OMP,ses_04,-0.07787811774672379,-0.06762019339805725,manifold_projection,avatarRT_sub_13
70,OMP,ses_04,-0.2963511178750763,-0.23691855067680923,voxel_data,avatarRT_sub_13
71,OMP,ses_04,-0.0773035592229939,-0.06696077143538229,component_data,avatarRT_sub_13
72,IM,ses_02,-0.018098810278715488,-0.010919229951361811,manifold_projection,avatarRT_sub_14
73,IM,ses_02,-0.16232750923885497,0.007807451661642206,voxel_data,avatarRT_sub_14
74,IM,ses_02,-0.01761746997770712,-0.010402062661200862,component_data,avatarRT_sub_14
75,WMP,ses_04,-0.022255186482408915,-0.012167903497532356,manifold_projection,avatarRT_sub_14
76,WMP,ses_04,0.13211048730284114,0.20950298144079893,voxel_data,avatarRT_sub_14
77,WMP,ses_04,-0.022194270819862527,-0.011917564929621552,component_data,avatarRT_sub_14
78,OMP,ses_03,-0.041094259918941695,-0.02871661173003512,manifold_projection,avatarRT_sub_14
79,OMP,ses_03,0.08466407774114848,0.17998186040128705,voxel_data,avatarRT_sub_14
80,OMP,ses_03,-0.040648363719970576,-0.02855189544603884,component_data,avatarRT_sub_14
81,IM,ses_02,-0.036368005228651995,-0.017937335019800438,manifold_projection,avatarRT_sub_15
82,IM,ses_02,-0.339029559165696,-0.03060866118997796,voxel_data,avatarRT_sub_15
83,IM,ses_02,-0.03747076692308432,-0.017663701752141214,component_data,avatarRT_sub_15
84,WMP,ses_03,-0.00033516112106825313,0.0006884895731430057,manifold_projection,avatarRT_sub_15
85,WMP,ses_03,0.040601222080236865,-0.0050698895184561055,voxel_data,avatarRT_sub_15
86,WMP,ses_03,-8.181470637842747e-05,0.0009893323269275917,component_data,avatarRT_sub_15
87,OMP,ses_04,0.05449669562655553,0.00993691619695676,manifold_projection,avatarRT_sub_15
88,OMP,ses_04,0.11561728799217641,-0.10535307641214009,voxel_data,avatarRT_sub_15
89,OMP,ses_04,0.05464617190918189,0.010012869466123772,component_data,avatarRT_sub_15
90,IM,ses_02,-0.03400740569514757,-0.0332209973054097,manifold_projection,avatarRT_sub_16
91,IM,ses_02,-0.18425392631105564,-0.1988136361283167,voxel_data,avatarRT_sub_16
92,IM,ses_02,-0.032643838318148155,-0.032676187178086485,component_data,avatarRT_sub_16
93,WMP,ses_04,-0.021096039412897172,-0.017700981037762242,manifold_projection,avatarRT_sub_16
94,WMP,ses_04,-0.09231735702552224,-0.09872238451336701,voxel_data,avatarRT_sub_16
95,WMP,ses_04,-0.02141154597079209,-0.018421482508109405,component_data,avatarRT_sub_16
96,OMP,ses_03,0.019490400608828284,0.031268781291155165,manifold_projection,avatarRT_sub_16
97,OMP,ses_03,-0.018058425774496456,0.03261053286886717,voxel_data,avatarRT_sub_16
98,OMP,ses_03,0.020260795440649848,0.031323881064383,component_data,avatarRT_sub_16
99,IM,ses_02,-0.07976723480001971,-0.06378299561542683,manifold_projection,avatarRT_sub_17
100,IM,ses_02,-0.6981270676523035,-0.4537491978720015,voxel_data,avatarRT_sub_17
